"V1","V2","V3","V4","V5","V6","V7","V8"
202407,20240701,11,316,"체육공원역",128.9696515,35.212577,0
202407,20240701,11,317,"대저역",128.9610488,35.213386,0
202407,20240701,11,402,"동래역(4호선)",129.077082,35.204834,0
202407,20240701,11,403,"수안역",129.083806,35.201828,0
202407,20240701,11,404,"낙민역",129.090774,35.200254,0
202407,20240701,11,405,"충렬사역",129.097636,35.199859,0
202407,20240701,11,406,"명장역",129.101517,35.205143,0
202407,20240701,11,407,"서동역",129.107683,35.213333,0
202407,20240701,11,408,"금사역",129.115153,35.215829,0
202407,20240701,11,409,"반여농산물시장역",129.124061,35.217779,0
202407,20240701,11,410,"석대역",129.137179,35.21811162,0
202407,20240701,11,411,"영산대역",129.146149,35.225777,0
202407,20240701,11,412,"윗반송역",129.154024,35.232506,0
202407,20240701,11,413,"고촌역",129.1604437,35.236031,0
202407,20240701,11,414,"안평역",129.171823,35.237363,0
202407,20240701,11,95,"다대포해수욕장",128.9641,35.04867,0
202407,20240701,11,96,"다대포항역",128.9713,35.05782,0
202407,20240701,11,97,"낫개역",128.979873,35.065265,0
202407,20240701,11,98,"신장림역",128.977041,35.074433,0
202407,20240701,11,99,"장림역",128.9775,35.08109,0
202407,20240701,12,100,"동매역",128.9742,35.0899,0
202407,20240701,12,101,"신평역",128.960564,35.095179,0
202407,20240701,12,102,"하단역",128.966803,35.10618,0
202407,20240701,12,103,"당리역",128.973846,35.103532,0
202407,20240701,12,104,"사하역",128.9831,35.099847,0
202407,20240701,12,105,"괴정역",128.992144,35.099816,0
202407,20240701,12,106,"대티역",128.999936,35.103126,0
202407,20240701,12,107,"서대신역",129.012178,35.110937,0
202407,20240701,12,108,"동대신역",129.017684,35.110452,0
202407,20240701,12,109,"토성역",129.019776,35.100727,0
202407,20240701,12,110,"자갈치역",129.02667,35.097372,0
202407,20240701,12,111,"남포역",129.034869,35.097953,0
202407,20240701,12,112,"중앙역",129.036371,35.103837,0
202407,20240701,12,113,"부산역",129.0397,35.115224,0
202407,20240701,12,114,"초량역",129.043039,35.121168,0
202407,20240701,12,115,"부산진역",129.047894,35.127787,0
202407,20240701,12,116,"좌천역",129.054455,35.134361,0
202407,20240701,12,117,"범일역",129.059352,35.140952,0
202407,20240701,12,118,"범내골역",129.059261,35.1474,0
202407,20240701,12,119,"서면역(1호선)",129.059556,35.158282,0
202407,20240701,12,120,"부전역",129.062952,35.162587,0
202407,20240701,12,121,"양정역",129.071366,35.173122,0
202407,20240701,12,122,"시청역",129.076642,35.179837,0
202407,20240701,12,123,"연산역",129.081534,35.186168,0
202407,20240701,12,124,"교대역",129.080035,35.19605,0
202407,20240701,12,125,"동래역",129.078506,35.205641,0
202407,20240701,12,126,"명륜역",129.079659,35.212551,0
202407,20240701,12,127,"온천장역",129.086437,35.220249,0
202407,20240701,12,128,"부산대역",129.089358,35.229609,0
202407,20240701,12,129,"장전역",129.088111,35.23809095,0
202407,20240701,12,130,"구서역",129.091327,35.247407,0
202407,20240701,12,131,"두실역",129.091386,35.256959,0
202407,20240701,12,132,"남산역",129.092496,35.265404,0
202407,20240701,12,133,"범어사역",129.092679,35.273105,0
202407,20240701,12,134,"노포역",129.094967,35.28468657,0
202407,20240701,12,201,"장산역",129.176986,35.169914,0
202407,20240701,12,202,"중동역",129.168091,35.1667051,0
202407,20240701,12,203,"해운대역",129.158908,35.163672,0
202407,20240701,12,204,"동백역",129.147897,35.161484,0
202407,20240701,12,205,"시립미술관역",129.138933,35.168844,0
202407,20240701,12,206,"센텀시티역",129.131745,35.168827,0
202407,20240701,12,207,"민락역",129.121909,35.167228,0
202407,20240701,12,208,"수영역",129.114713,35.165227,0
202407,20240701,12,209,"광안역",129.113168,35.157916,0
202407,20240701,12,210,"금련산역",129.110961,35.149771,0
202407,20240701,12,211,"남천역",129.107978,35.142139,0
202407,20240701,12,212,"경성대부경대역",129.100548,35.137585,0
202407,20240701,12,213,"대연역",129.092161,35.135153,0
202407,20240701,12,214,"못골역",129.084415,35.134731,0
202407,20240701,12,215,"지게골역",129.074365,35.135574,0
202407,20240701,12,216,"문현역",129.067399,35.139151,0
202407,20240701,12,217,"국제금융센터부산은행역",129.066755,35.145817,0
202407,20240701,12,218,"전포역",129.065374,35.153102,0
202407,20240701,12,219,"서면역(2호선)",129.059084,35.15774,0
202407,20240701,12,220,"부암역",129.050185,35.157444,0
202407,20240701,12,221,"가야역",129.042817,35.155883,0
202407,20240701,12,222,"동의대역",129.03275,35.153986,0
202407,20240701,12,223,"개금역",129.020533,35.153284,0
202407,20240701,12,224,"냉정역",129.012255,35.151254,0
202407,20240701,12,225,"주례역",129.003077,35.150508,0
202407,20240701,12,226,"감전역",128.991146,35.155528,0
202407,20240701,12,227,"사상역",128.984621,35.162361,0
202407,20240701,12,228,"덕포역",128.983955,35.173754,0
202407,20240701,12,229,"모덕역",128.985621,35.180366,0
202407,20240701,12,230,"모라역",128.988655,35.189663,0
202407,20240701,12,231,"구남역",128.994928,35.196804,0
202407,20240701,12,232,"구명역",128.999322,35.20252,0
202407,20240701,12,233,"덕천역(2호선)",129.005673,35.210219,0
202407,20240701,12,234,"수정역",129.009198,35.223356,0
202407,20240701,12,235,"화명역",129.013918,35.236278,0
202407,20240701,12,236,"율리역",129.012918,35.246714,0
202407,20240701,12,237,"동원역",129.012392,35.258656,0
202407,20240701,12,238,"금곡역",129.0169054,35.267248,0
202407,20240701,12,239,"호포역",129.017097,35.280406,0
202407,20240701,12,240,"증산역",129.010246,35.308302,0
